Customer_ID,Customer_Name,Age,Gender,Churn,State,City,Membership_Level
2,Marie Wright,27,Female,0,Johor,Nusajaya,Silver 
3,Julie Wolfe,23,Female,0,Negeri Sembilan,Seremban,Gold 
4,Tracey Smith,66,Male,1,Kelantan,Kota Bharu,Gold 
4,Tracey Smith,66,Male,1,Kelantan,Kota Bharu,Gold 
5,Nancy Jones,26,Female,0,Selangor,Shah Alam,Silver 
6,Kayla Smith,24,Female,1,Sabah,Tawau,Silver 
7,Kristina Miller,34,Female,0,Perlis,Kangar,Silver 
8,Michael Weber,50,Female,0,Sarawak,Bintulu,Silver 
9,Laurie Holmes,41,Female,0,Pulau Pinang,Butterworth,Silver 
9,Laurie Holmes,41,Female,0,Pulau Pinang,Butterworth,Silver 
9,Laurie Holmes,41,Female,0,Pulau Pinang,Butterworth,Silver 
10,Jessica Daniels,58,Female,1,Kedah,Alor Star,Gold 
10,Jessica Daniels,58,Female,1,Kedah,Alor Star,Gold 
10,Jessica Daniels,58,Female,1,Kedah,Alor Star,Gold 
10,Jessica Daniels,58,Female,1,Kedah,Alor Star,Gold 
11,Ashley Lucas,34,Female,0,Selangor,Shah Alam,Silver 
11,Ashley Lucas,34,Female,0,Selangor,Shah Alam,Silver 
11,Ashley Lucas,34,Female,0,Selangor,Shah Alam,Silver 
11,Ashley Lucas,34,Female,0,Selangor,Shah Alam,Silver 
12,Christopher Clark,33,Male,0,Perlis,Kangar,Gold 
12,Christopher Clark,33,Male,0,Perlis,Kangar,Gold 
14,Darren Myers,63,Female,1,Kelantan,Kota Bharu,Silver 
15,Heather Jimenez,64,Male,0,Selangor,Petaling Jaya,Gold 
16,Melissa Kaufman,50,Male,1,Kelantan,Bachok,Silver 
17,Amy Morse,22,Male,0,Kedah,Alor Star,Silver 
17,Amy Morse,22,Male,0,Kedah,Alor Star,Silver 
18,David Sanchez,58,Male,0,Sarawak,Kuching,Gold 
18,David Sanchez,58,Male,0,Sarawak,Kuching,Gold 
19,Brittney Owen,63,Male,1,Terengganu,Kuala Terengganu,Silver 
19,Brittney Owen,63,Male,1,Terengganu,Kuala Terengganu,Silver 
20,John Rivera,62,Male,0,Sarawak,Bintulu,Silver 
21,Richard Fletcher,69,Male,0,Negeri Sembilan,Kuala Pilah,Silver 
21,Richard Fletcher,69,Male,0,Negeri Sembilan,Kuala Pilah,Silver 
22,Marvin Smith,61,Male,0,Kedah,Alor Star,Gold 
22,Marvin Smith,61,Male,0,Kedah,Alor Star,Gold 
22,Marvin Smith,61,Male,0,Kedah,Alor Star,Gold 
24,Jamie Watson,49,Female,1,Kelantan,Bachok,Silver 
24,Jamie Watson,49,Female,1,Kelantan,Bachok,Silver 
25,Jose Boone,33,Male,0,Negeri Sembilan,Kuala Pilah,Silver 
25,Jose Boone,33,Male,0,Negeri Sembilan,Kuala Pilah,Silver 
25,Jose Boone,33,Male,0,Negeri Sembilan,Kuala Pilah,Silver 
26,Eric Roach,36,Male,1,Kuala Lumpur,Kuala Lumpur,Silver 
27,Daniel Lopez,61,Male,1,Selangor,Shah Alam,Gold 
28,Eric Mendez,70,Male,0,Melaka,Melaka,Silver 
28,Eric Mendez,70,Male,0,Melaka,Melaka,Silver 
29,Frank Smith,36,Male,0,Johor,Nusajaya,Gold 
29,Frank Smith,36,Male,0,Johor,Nusajaya,Gold 
30,Jerry Montes,27,Male,0,Perak,Taiping,Silver 
32,James Blake,19,Female,1,Melaka,Melaka,Silver 
32,James Blake,19,Female,1,Melaka,Melaka,Silver 
33,Laura Norris,37,Female,0,Putrajaya,Putrajaya,Bronze
36,Richard Cruz,36,Female,0,Selangor,Petaling Jaya,Gold 
36,Richard Cruz,36,Female,0,Selangor,Petaling Jaya,Gold 
37,Steven Mercado IV,44,Female,0,Kelantan,Pasir Mas,Silver 
38,Chad Hendrix,70,Male,0,Sabah,Kota Kinabalu,Silver 
40,Brooke Jones,56,Female,0,Kelantan,Pasir Mas,Silver 
41,Andrew Garcia,54,Male,1,Sarawak,Bintulu,Gold 
41,Andrew Garcia,54,Male,1,Sarawak,Bintulu,Gold 
41,Andrew Garcia,54,Male,1,Sarawak,Bintulu,Gold 
42,Ross Cowan,21,Male,0,Kelantan,Bachok,Silver 
42,Ross Cowan,21,Male,0,Kelantan,Bachok,Silver 
43,Clifford Davis,29,Female,0,Pulau Pinang,Pulau Pinang,Silver 
43,Clifford Davis,29,Female,0,Pulau Pinang,Pulau Pinang,Silver 
43,Clifford Davis,29,Female,0,Pulau Pinang,Pulau Pinang,Silver 
44,Matthew Farmer,51,Male,0,Negeri Sembilan,Kuala Pilah,Silver 
46,Gina Simpson,61,Male,0,Putrajaya,Putrajaya,Silver 
47,Melanie Duncan,43,Female,0,Sabah,Lahad Datu,Silver 
47,Melanie Duncan,43,Female,0,Sabah,Lahad Datu,Silver 
48,Chris Taylor,43,Female,1,Perlis,Kangar,Silver 
50,Gail Lopez,25,Female,0,Negeri Sembilan,Kuala Pilah,Silver 
51,Nicole Garrison,27,Female,1,Selangor,Rawang,Silver 
52,Sandra Schroeder,24,Female,0,Pulau Pinang,Butterworth,Silver 
53,David Kim,37,Male,0,Selangor,Puchong,Gold 
53,David Kim,37,Male,0,Selangor,Puchong,Gold 
54,Beth Garcia,40,Female,0,Selangor,Klang,Silver 
55,Jose Cooke,47,Female,0,Pulau Pinang,Butterworth,Silver 
56,Carolyn Keith,42,Male,0,Negeri Sembilan,Seremban,Silver 
56,Carolyn Keith,42,Male,0,Negeri Sembilan,Seremban,Silver 
56,Carolyn Keith,42,Male,0,Negeri Sembilan,Seremban,Silver 
57,Spencer Duke,23,Female,0,Johor,Nusajaya,Bronze
59,David Aguilar,34,Male,0,Kedah,Alor Star,Silver 
59,David Aguilar,34,Male,0,Kedah,Alor Star,Silver 
60,Mr. Mark Walker,37,Male,0,Kelantan,Pasir Mas,Silver 
60,Mr. Mark Walker,37,Male,0,Kelantan,Pasir Mas,Silver 
61,William Strong,60,Male,0,Negeri Sembilan,Kuala Pilah,Silver 
61,William Strong,60,Male,0,Negeri Sembilan,Kuala Pilah,Silver 
61,William Strong,60,Male,0,Negeri Sembilan,Kuala Pilah,Silver 
62,Melissa Mcknight,38,Female,1,Johor,Nusajaya,Silver 
62,Melissa Mcknight,38,Female,1,Johor,Nusajaya,Silver 
65,Anthony Mcmillan,51,Female,0,Johor,Johor Bahru,Silver 
66,James Johnson,20,Female,0,Selangor,Klang,Gold 
67,Andrea Scott,34,Female,0,Kelantan,Kota Bharu,Silver 
67,Andrea Scott,34,Female,0,Kelantan,Kota Bharu,Silver 
67,Andrea Scott,34,Female,0,Kelantan,Kota Bharu,Silver 
